#,Event,Date,Venue,Location,Attendance,url
567,UFC on ESPN: The Korean Zombie vs. Ige,2021-06-19,[162],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_The_Korean_Zombie_vs._Ige
566,UFC 263: Adesanya vs. Vettori 2,2021-06-12,Gila River Arena,"Glendale, Arizona, U.S.","17,208",https://en.wikipedia.org/wiki/UFC_263
565,UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05,UFC Apex,"Las Vegas, Nevada, U.S.",0,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rozenstruik_vs._Sakai
564,UFC Fight Night: Font vs. Garbrandt,2021-05-22,[165],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Font_vs._Garbrandt
563,UFC 262: Oliveira vs. Chandler,2021-05-15,Toyota Center,"Houston, Texas, U.S.","16,005",https://en.wikipedia.org/wiki/UFC_262
562,UFC on ESPN: Rodriguez vs. Waterson,2021-05-08,UFC Apex,"Las Vegas, Nevada, U.S.",0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Rodriguez_vs._Waterson
561,UFC on ESPN: Reyes vs. Procházka,2021-05-01,[168],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Reyes_vs._Proch%C3%A1zka
560,UFC 261: Usman vs. Masvidal 2,2021-04-24,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.","15,269",https://en.wikipedia.org/wiki/UFC_261
559,UFC on ESPN: Whittaker vs. Gastelum,2021-04-17,UFC Apex,"Las Vegas, Nevada, U.S.",0,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Whittaker_vs._Gastelum
558,UFC on ABC: Vettori vs. Holland,2021-04-10,[171],,,https://en.wikipedia.org/wiki/UFC_on_ABC:_Vettori_vs._Holland
557,UFC 260: Miocic vs. Ngannou 2,2021-03-27,[172],,,https://en.wikipedia.org/wiki/UFC_260
556,UFC on ESPN: Brunson vs. Holland,2021-03-20,[173],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Brunson_vs._Holland
555,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,[174],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edwards_vs._Muhammad
554,UFC 259: Błachowicz vs. Adesanya,2021-03-06,[175],,,https://en.wikipedia.org/wiki/UFC_259
553,UFC Fight Night: Rozenstruik vs. Gane,2021-02-27,[176],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rozenstruik_vs._Gane
552,UFC Fight Night: Blaydes vs. Lewis,2021-02-20,[177],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._Lewis
551,UFC 258: Usman vs. Burns,2021-02-13,[178],,,https://en.wikipedia.org/wiki/UFC_258
550,UFC Fight Night: Overeem vs. Volkov,2021-02-06,[179],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Overeem_vs._Volkov
549,UFC 257: Poirier vs. McGregor 2,2021-01-24,Etihad Arena,"Abu Dhabi, United Arab Emirates","2,600",https://en.wikipedia.org/wiki/UFC_257
548,UFC on ESPN: Chiesa vs. Magny,2021-01-20,"2,000",[181],,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Chiesa_vs._Magny
