#,Event,Date,Venue,Location,Attendance,url,fight_odds_url,fight_odds_url_2
660,UFC 292: Sterling vs. O'Malley,2023-08-19,TD Garden,"Boston, Massachusetts, U.S.","18,293",https://en.wikipedia.org/wiki/UFC_292,https://www.bestfightodds.com/events/ufc-292-sterling-vs-o-malley-2899,
659,UFC on ESPN: Luque vs. dos Anjos,2023-08-12,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Luque_vs._dos_Anjos,https://www.bestfightodds.com/events/ufc-292-2886,
658,UFC on ESPN: Sandhagen vs. Font,2023-08-05,Bridgestone Arena,"Nashville, Tennessee, U.S.","17,792",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Sandhagen_vs._Font,https://www.bestfightodds.com/events/ufc-fight-night-sandhagen-vs-nurmagomedov-2936,
657,UFC 291: Poirier vs. Gaethje 2,2023-07-29,Delta Center,"Salt Lake City, Utah, U.S.","18,467",https://en.wikipedia.org/wiki/UFC_291,https://www.bestfightodds.com/events/ufc-291-2900,
656,UFC Fight Night: Aspinall vs. Tybura,2023-07-22,The O2 Arena,"London, England, UK","15,078",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Aspinall_vs._Tybura,https://www.bestfightodds.com/events/ufc-fight-night-225-2891,
655,UFC on ESPN: Holm vs. Bueno Silva,2023-07-15,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Holm_vs._Bueno_Silva,https://www.bestfightodds.com/events/ufc-fight-night-228-2848,
654,UFC 290: Volkanovski vs. Rodríguez,2023-07-08,T-Mobile Arena,"19,204",[75],https://en.wikipedia.org/wiki/UFC_290,https://www.bestfightodds.com/events/ufc-290-2834,
653,UFC on ESPN: Strickland vs. Magomedov,2023-07-01,UFC Apex,—,[76],https://en.wikipedia.org/wiki/UFC_on_ESPN:_Strickland_vs._Magomedov,https://www.bestfightodds.com/events/ufc-fight-night-strickland-vs-magomedov-2871,
652,UFC on ABC: Emmett vs. Topuria,2023-06-24,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.","14,101",https://en.wikipedia.org/wiki/UFC_on_ABC:_Emmett_vs._Topuria,https://www.bestfightodds.com/events/ufc-fight-night-227-2849,
651,UFC on ESPN: Vettori vs. Cannonier,2023-06-17,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Vettori_vs._Cannonier,https://www.bestfightodds.com/events/ufc-on-espn-hermansson-vs-allen-2870,
