W/L,Fighter,KD,Total Strikes,Takedowns,Sub Attempts,Round,Time
"Clay Guida 


Claudio Puelles","0
    

      0","3 of 4
    

      1 of 3","75%
    

      33%","4 of 6
    

      11 of 13","0 of 1
    

      0 of 0","1
    

      0","1:10
    

      0:14"
"Maycee Barber 


Montana De La Rosa","0
    

      0","25 of 31
    

      3 of 10","80%
    

      30%","34 of 43
    

      16 of 24","0 of 3
    

      0 of 1","0
    

      0","2:25
    

      1:51"
"Maycee Barber 


Montana De La Rosa","0
    

      0","7 of 9
    

      2 of 5","77%
    

      40%","14 of 19
    

      4 of 8","0 of 0
    

      1 of 1","1
    

      1","2:06
    

      2:22"
"Maycee Barber 


Montana De La Rosa","0
    

      0","18 of 23
    

      9 of 13","78%
    

      69%","32 of 39
    

      21 of 25","1 of 1
    

      0 of 0","0
    

      0","2:29
    

      1:42"
"Lando Vannata 


Charles Jourdain","0
    

      0","8 of 14
    

      4 of 7","57%
    

      57%","8 of 14
    

      5 of 8","1 of 1
    

      0 of 0","1
    

      0","0:57
    

      0:19"
"Jordan Wright 


Marc-Andre Barriault","0
    

      0","12 of 13
    

      13 of 17","92%
    

      76%","16 of 17
    

      17 of 21","2 of 4
    

      0 of 0","0
    

      1","1:32
    

      0:03"
"Dwight Grant 


Sergey Khandozhko","1
    

      1","25 of 63
    

      18 of 52","39%
    

      34%","30 of 68
    

      18 of 52","0 of 0
    

      1 of 1","0
    

      0","0:12
    

      0:46"
"Dwight Grant 


Sergey Khandozhko","0
    

      1","17 of 47
    

      31 of 73","36%
    

      42%","17 of 47
    

      31 of 73","1 of 1
    

      0 of 0","0
    

      0","0:08
    

      0:02"
"Tyson Pedro 


Ike Villanueva","1
    

      0","22 of 29
    

      4 of 22","75%
    

      18%","22 of 29
    

      4 of 22","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:00"
"Aoriqileng 


Cameron Else","1
    

      0","37 of 64
    

      6 of 12","57%
    

      50%","49 of 85
    

      7 of 13","1 of 1
    

      0 of 0","0
    

      0","1:34
    

      0:13"
"Preston Parsons 


Evan Elder","0
    

      0","16 of 28
    

      12 of 22","57%
    

      54%","23 of 35
    

      15 of 25","2 of 2
    

      0 of 1","0
    

      0","2:16
    

      0:35"
"Preston Parsons 


Evan Elder","0
    

      0","16 of 25
    

      7 of 15","64%
    

      46%","40 of 49
    

      8 of 16","2 of 2
    

      0 of 0","1
    

      2","2:55
    

      0:52"
"Preston Parsons 


Evan Elder","0
    

      0","43 of 59
    

      8 of 23","72%
    

      34%","58 of 76
    

      11 of 26","0 of 2
    

      0 of 1","0
    

      0","2:37
    

      0:20"
"Marcin Prachnio 


Philipe Lins","0
    

      0","30 of 42
    

      14 of 27","71%
    

      51%","43 of 55
    

      15 of 28","0 of 0
    

      1 of 2","0
    

      0","0:28
    

      1:00"
"Marcin Prachnio 


Philipe Lins","0
    

      0","28 of 50
    

      33 of 49","56%
    

      67%","46 of 68
    

      54 of 70","0 of 1
    

      0 of 3","0
    

      0","1:14
    

      1:25"
"Marcin Prachnio 


Philipe Lins","0
    

      0","16 of 25
    

      17 of 34","64%
    

      50%","27 of 36
    

      27 of 44","0 of 0
    

      3 of 6","0
    

      0","0:11
    

      3:03"
"Dean Barry 


Mike Jackson","1
    

      0","36 of 90
    

      18 of 37","40%
    

      48%","39 of 93
    

      18 of 37","0 of 0
    

      0 of 1","0
    

      0","0:15
    

      0:09"
"Vicente Luque 


Belal Muhammad","0
    

      0","14 of 37
    

      9 of 33","37%
    

      27%","24 of 47
    

      35 of 65","0 of 0
    

      1 of 1","0
    

      0","0:15
    

      1:39"
"Vicente Luque 


Belal Muhammad","0
    

      0","15 of 35
    

      16 of 30","42%
    

      53%","18 of 38
    

      24 of 43","0 of 0
    

      1 of 1","0
    

      0","0:00
    

      1:16"
"Vicente Luque 


Belal Muhammad","0
    

      0","24 of 46
    

      9 of 21","52%
    

      42%","27 of 49
    

      21 of 39","0 of 0
    

      1 of 3","0
    

      0","0:00
    

      1:21"
"Vicente Luque 


Belal Muhammad","0
    

      0","20 of 41
    

      13 of 44","48%
    

      29%","21 of 42
    

      41 of 78","0 of 0
    

      1 of 1","0
    

      0","0:00
    

      1:33"
